iter	Passed	Remaining
0	136	136252
1	138	69049
2	142	47232
3	145	36111
4	147	29378
5	150	24879
6	153	21788
7	156	19442
8	159	17546
9	161	16008
10	167	15070
11	169	13985
12	172	13060
13	173	12239
14	175	11498
15	176	10864
16	177	10285
17	178	9756
18	179	9271
19	180	8857
20	182	8498
21	183	8151
22	184	7837
23	185	7533
24	186	7257
25	186	7004
26	188	6790
27	189	6571
28	190	6371
29	191	6182
30	191	5998
31	192	5824
32	193	5660
33	193	5508
34	194	5362
35	196	5266
36	198	5164
37	199	5046
38	200	4936
39	201	4828
40	202	4738
41	203	4647
42	204	4562
43	205	4475
44	206	4389
45	207	4310
46	208	4232
47	209	4157
48	210	4094
49	211	4027
50	212	3959
51	213	3899
52	214	3837
53	215	3782
54	216	3726
55	217	3671
56	218	3618
57	219	3566
58	220	3517
59	221	3467
60	222	3419
61	222	3371
62	223	3323
63	224	3284
64	225	3246
65	226	3211
66	227	3173
67	228	3134
68	229	3096
69	230	3060
70	231	3027
71	233	3003
72	234	2972
73	234	2938
74	235	2904
75	236	2870
76	236	2838
77	237	2807
78	238	2775
79	240	2768
80	241	2744
81	242	2717
82	243	2685
83	243	2659
84	244	2633
85	245	2609
86	246	2587
87	247	2566
88	248	2544
89	249	2522
90	250	2499
91	250	2476
92	251	2454
93	252	2435
94	253	2415
95	254	2399
96	255	2382
97	256	2363
98	257	2343
99	258	2328
100	259	2310
101	260	2293
102	261	2278
103	262	2261
104	263	2242
105	263	2224
106	264	2206
107	265	2191
108	266	2181
109	267	2164
110	268	2147
111	268	2131
112	269	2117
113	271	2109
114	273	2101
115	273	2086
116	274	2070
117	274	2055
118	275	2039
119	276	2026
120	276	2011
121	278	2001
122	279	1990
123	280	1978
124	280	1965
125	281	1952
126	282	1938
127	282	1925
128	283	1913
129	284	1903
130	285	1895
131	286	1885
132	287	1875
133	288	1863
134	289	1852
135	289	1840
136	291	1833
137	292	1825
138	292	1814
139	293	1804
140	294	1793
141	294	1780
142	295	1770
143	296	1759
144	296	1749
145	297	1741
146	298	1733
147	299	1724
148	300	1716
149	301	1708
150	302	1699
151	302	1689
152	303	1680
153	304	1671
154	305	1666
155	306	1658
156	308	1657
157	309	1648
158	310	1639
159	310	1631
160	311	1622
161	312	1616
162	313	1608
163	314	1600
164	314	1592
165	315	1586
166	316	1580
167	317	1572
168	318	1565
169	319	1558
170	319	1551
171	320	1543
172	321	1537
173	322	1530
174	323	1526
175	324	1519
176	325	1514
177	326	1507
178	327	1501
179	327	1493
180	328	1486
181	329	1479
182	331	1478
183	332	1473
184	333	1467
185	333	1460
186	334	1454
187	335	1447
188	335	1440
189	336	1436
190	338	1431
191	338	1426
192	339	1420
193	340	1414
194	341	1408
195	341	1401
196	343	1398
197	344	1394
198	344	1388
199	345	1383
200	347	1379
201	347	1374
202	349	1371
203	350	1366
204	351	1361
205	351	1356
206	352	1351
207	353	1346
208	354	1341
209	355	1336
210	356	1331
211	357	1327
212	358	1323
213	358	1317
214	359	1311
215	359	1306
216	361	1302
217	362	1299
218	363	1297
219	364	1292
220	365	1287
221	365	1282
222	366	1278
223	367	1274
224	369	1271
225	370	1268
226	371	1264
227	371	1258
228	372	1254
229	373	1249
230	373	1244
231	374	1239
232	375	1236
233	376	1233
234	377	1230
235	379	1227
236	379	1222
237	380	1217
238	380	1213
239	381	1209
240	382	1205
241	384	1202
242	385	1199
243	386	1196
244	387	1192
245	388	1190
246	389	1188
247	390	1185
248	392	1183
249	393	1180
250	394	1177
251	395	1173
252	396	1170
253	397	1166
254	398	1164
255	399	1161
256	401	1160
257	402	1157
258	403	1153
259	404	1150
260	404	1146
261	405	1142
262	406	1140
263	408	1138
264	408	1134
265	410	1131
266	411	1128
267	411	1124
268	412	1121
269	414	1120
270	415	1117
271	416	1114
272	417	1110
273	417	1107
274	418	1103
275	419	1099
276	419	1095
277	421	1093
278	422	1091
279	423	1089
280	424	1086
281	425	1082
282	426	1079
283	427	1076
284	428	1075
285	429	1072
286	430	1069
287	431	1065
288	431	1062
289	432	1058
290	433	1057
291	435	1055
292	436	1052
293	437	1049
294	438	1047
295	439	1044
296	440	1041
297	440	1038
298	441	1035
299	442	1032
300	443	1030
301	444	1027
302	445	1025
303	446	1023
304	448	1021
305	448	1018
306	449	1014
307	450	1011
308	451	1008
309	452	1007
310	453	1005
311	454	1002
312	455	1000
313	456	996
314	457	993
315	458	991
316	459	989
317	460	987
318	461	985
319	462	982
320	462	979
321	464	977
322	464	974
323	465	971
324	466	969
325	467	967
326	468	965
327	470	962
328	470	960
329	471	957
330	472	955
331	473	952
332	474	950
333	475	947
334	476	945
335	477	943
336	478	940
337	479	938
338	479	935
339	480	932
340	481	929
341	482	927
342	483	925
343	484	923
344	485	921
345	485	918
346	486	915
347	487	913
348	488	910
349	489	908
350	490	906
351	490	903
352	491	901
353	492	898
354	492	895
355	493	892
356	494	889
357	494	887
358	495	884
359	495	881
360	496	879
361	498	878
362	499	876
363	500	873
364	500	871
365	501	868
366	502	866
367	503	864
368	504	861
369	504	859
370	505	857
371	506	854
372	506	851
373	507	849
374	508	846
375	508	844
376	509	841
377	510	839
378	510	836
379	511	834
380	512	831
381	513	830
382	514	828
383	515	827
384	516	824
385	516	822
386	517	820
387	518	818
388	519	816
389	520	814
390	521	812
391	522	809
392	523	807
393	524	805
394	525	804
395	525	802
396	526	799
397	527	798
